Config,K,Metric,Mean,Std_Dev
B_a0.3,5,Recall@K,0.369215,0.000806
B_a0.3,5,NDCG@K,0.340753,0.001495
B_a0.3,5,mAP@K,0.253104,0.001287
B_a0.3,10,Recall@K,0.450186,0.001026
B_a0.3,10,NDCG@K,0.397485,0.001318
B_a0.3,10,mAP@K,0.263869,0.001241
B_a0.3,15,Recall@K,0.493617,0.000630
B_a0.3,15,NDCG@K,0.428759,0.001251
B_a0.3,15,mAP@K,0.267317,0.001230
B_a0.7,5,Recall@K,0.390174,0.000079
B_a0.7,5,NDCG@K,0.381632,0.000064
B_a0.7,5,mAP@K,0.289301,0.000028
B_a0.7,10,Recall@K,0.462319,0.000104
B_a0.7,10,NDCG@K,0.435314,0.000063
B_a0.7,10,mAP@K,0.298928,0.000030
B_a0.7,15,Recall@K,0.505486,0.000050
B_a0.7,15,NDCG@K,0.466752,0.000062
B_a0.7,15,mAP@K,0.302329,0.000026
C_a0.3,5,Recall@K,0.649494,0.000145
C_a0.3,5,NDCG@K,0.738203,0.001516
C_a0.3,5,mAP@K,0.492283,0.000980
C_a0.3,10,Recall@K,0.732083,0.000195
C_a0.3,10,NDCG@K,0.847967,0.001315
C_a0.3,10,mAP@K,0.503433,0.000949
C_a0.3,15,Recall@K,0.775549,0.000058
C_a0.3,15,NDCG@K,0.908651,0.001293
C_a0.3,15,mAP@K,0.506880,0.000949
C_a0.7,5,Recall@K,0.663648,0.000030
C_a0.7,5,NDCG@K,0.793592,0.000025
C_a0.7,5,mAP@K,0.536320,0.000030
C_a0.7,10,Recall@K,0.738975,0.000030
C_a0.7,10,NDCG@K,0.898797,0.000037
C_a0.7,10,mAP@K,0.546412,0.000030
C_a0.7,15,Recall@K,0.779698,0.000030
C_a0.7,15,NDCG@K,0.957349,0.000042
C_a0.7,15,mAP@K,0.549630,0.000030
A,5,Recall@K,0.391968,0.000050
A,5,NDCG@K,0.383003,0.000045
A,5,mAP@K,0.289960,0.000025
A,10,Recall@K,0.464675,0.000030
A,10,NDCG@K,0.436925,0.000017
A,10,mAP@K,0.299598,0.000023
A,15,Recall@K,0.509020,0.000030
A,15,NDCG@K,0.469649,0.000012
A,15,mAP@K,0.303084,0.000021